tweetDate,content,twitterProfile,tweetUrl,timestamp,query
Wed Oct 28 10:34:53 +0000 2020,"Let's make this happen, for our young people, for the provision of sustainable livelihoods for all. Young people can manage their own businesses, all they need is the support. The NDC will ensure they receive a sizeable portion of MASLOC loans. #JMandJanae2020 #JohnMahama2020 https://t.co/S8SGpXTDbn",https://twitter.com/CitizenTechiman,https://twitter.com/CitizenTechiman/status/1321400035024773120,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 17:19:02 +0000 2020,"Can @NAkufoAddo and the @NPP_GH show anything like this👇👇 in their delivery tracker? They can only boast about borrowing huge sums forChop chop government

#JohnMahama2020 Afa! ✌️✍️🤳 https://t.co/5UVBN6zX2q",https://twitter.com/NsiaAvena,https://twitter.com/NsiaAvena/status/1322951295196631043,2020-11-04T16:04:52.012Z,#JohnMahama2020
Thu Oct 29 14:14:30 +0000 2020,@JDMahama #JohnMahama2020 🔥🔥 https://t.co/RB5wcC39mS,https://twitter.com/RudolfKwame,https://twitter.com/RudolfKwame/status/1321817691544571904,2020-11-04T16:04:52.012Z,#JohnMahama2020
Thu Oct 29 18:53:52 +0000 2020,"...... undignifying temporal jobs, to the provision of Decent and Sustainable Job. 

The youth deserve better.

#JohnMahama2020
#JMAndJane2020 https://t.co/L9Vd4vxRlN",https://twitter.com/NanaOseiOpokuP1,https://twitter.com/NanaOseiOpokuP1/status/1321887996954759169,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 18:07:53 +0000 2020,"Let your voice bring change! Be a citizen, not a spectator - speak out!
Join the Better Ghana Challenge and Win Cool Prizes. 
Click on the link for more details:
https://t.co/V0B2NRGREq
#iTrustJM 
#KickNanaOut
#RescueMission2020
#NDCmanifesto
#AllGhanaiansMatter 
#JohnMahama2020 https://t.co/rcGmTrnMdD",https://twitter.com/mpowerghana,https://twitter.com/mpowerghana/status/1323325976919658496,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Oct 27 17:15:36 +0000 2020,The Makola woman says #2sure for   free Primary Health Care.  #JohnMahama2020 https://t.co/2LMJ4uOkUn,https://twitter.com/Kwakurafiki1,https://twitter.com/Kwakurafiki1/status/1321138490747297794,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 11:49:20 +0000 2020,"No weapon formed against my innocent brother and comrade @FelixKwakyeOfo1 shall prosper in Jesus Mighty Name. Our enemies and their plot will fail together. 

#JohnMahama2020 ✍️🤳👂 https://t.co/Sv0rINtlhe",https://twitter.com/NsiaAvena,https://twitter.com/NsiaAvena/status/1323230709373374464,2020-11-04T16:04:52.012Z,#JohnMahama2020
Wed Oct 28 17:03:39 +0000 2020,"“The cedi was the worst performing currency in the entire world, only managing to perform better than then war-torn Ukraine’s Hryvnia. Indeed, in dollar terms, the former President took an economy that was $64 billion in 2013 and shrunk it down to $55 billion in 2016.” Ofori-Atta",https://twitter.com/GabbyDarko,https://twitter.com/GabbyDarko/status/1321497870567149571,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 12:04:47 +0000 2020,"@lollipop1ph @Starr1035Fm @JDMahama 😂😂😂
#AllGhanaiansMatter 
#JohnMahama2020",https://twitter.com/Kwakurafiki1,https://twitter.com/Kwakurafiki1/status/1323596987644682241,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 21:46:09 +0000 2020,"#JohnMahama2020 
#NDCmanifesto 
#AllGhanaiansMatter https://t.co/rrxuuw0QAx",https://twitter.com/marcusadampah,https://twitter.com/marcusadampah/status/1323380902794317825,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 16:16:26 +0000 2020,#NDCmanifesto #JMandJane2020 #JohnMahama2020 https://t.co/he5cRqGaAH,https://twitter.com/JanepherKE,https://twitter.com/JanepherKE/status/1323297926530125827,2020-11-04T16:04:52.012Z,#JohnMahama2020
Wed Oct 28 16:44:18 +0000 2020,"The rain 🌧️ sacked me from the office, but I think I like it 😂😂😂✌️✌️ by the way I think I should join @johndumelo1  tomorrow on the street ✌️ #Idey4u 

 #NDCManifesto #JMandJane2020 #JohnMahama2020 https://t.co/A2INmlpPvp",https://twitter.com/JanepherKE,https://twitter.com/JanepherKE/status/1321493003861659649,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 15:00:38 +0000 2020,#JohnMahama2020 #JMandJane2020,https://twitter.com/JQuainyin,https://twitter.com/JQuainyin/status/1323278854463606784,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Oct 26 16:17:13 +0000 2020,#JohnMahama2020 https://t.co/1C1SR0aL5z,https://twitter.com/Fbappiah2,https://twitter.com/Fbappiah2/status/1320761409555308544,2020-11-04T16:04:52.012Z,#JohnMahama2020
Fri Oct 30 08:30:33 +0000 2020,"Tema Maritime Hospital - Mahama legacy 
#JohnMahama2020 https://t.co/E2nFogb8xj",https://twitter.com/RudolfKwame,https://twitter.com/RudolfKwame/status/1322093522426744833,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Oct 27 07:08:31 +0000 2020,Akufo-Addo commissions Kpong Power Station retrofit project |More here: https://t.co/l3mOy84Zpk #CitiCBS,https://twitter.com/Citi973,https://twitter.com/Citi973/status/1320985715132563456,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Oct 27 13:15:36 +0000 2020,#Rescuemission #JohnMahama2020 https://t.co/hcT2tgYXNf,https://twitter.com/_Abdul_Manan_,https://twitter.com/_Abdul_Manan_/status/1321078091083636744,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 06:31:46 +0000 2020,"John Mahama Says *Happy New Month to you*

His prayer for you this month is for you to receive #Double Blessings and Trust God to cause a positive Change in your life.

Enjoy the Month with Smiles, Joy, Favour and Happiness.

#JohnMahama2020 https://t.co/fDYofeeIQG",https://twitter.com/deonsta,https://twitter.com/deonsta/status/1322788402765484033,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 12:35:43 +0000 2020,"BREAKING NEWS!

My Friends and I endorse #JohnMahama2020.

We will work for his victory.  

#ThePeoplesEndorsement
#CanNotBeBought
#LetsDoItForGhana
#JMandJane2020 https://t.co/dOYOwTkFn1",https://twitter.com/realakosuabrago,https://twitter.com/realakosuabrago/status/1323604772486787073,2020-11-04T16:04:52.012Z,#JohnMahama2020
Fri Oct 30 08:31:48 +0000 2020,"A special message from #JohnMahama to you :

Keep the faith and hope alive

Special blessings are coming your way, just Believe.

It's #2sure and We Trust JM to deliver

#TeamRevolution
#JohnMahama2020
#JMandJane2020
#NDCManifesto https://t.co/bysKZrRYNO",https://twitter.com/deonsta,https://twitter.com/deonsta/status/1322093837834162176,2020-11-04T16:04:52.012Z,#JohnMahama2020
